uidai_api_data: https://uidai.gov.in/en/data-and-download#testing-data-and-license-keys




BENEFICIARY_ID       | FINGERPRINT_BIOMETRIC_HASH                                 | FACE_BIOMETRIC_HASH
---------------------+------------------------------------------------------------+------------------------------------------------------------
BEN-000001           | 9588272e6abea6375f64cfd92a554f2b3147a902fedd552225         | d0e34fd0a1201e3f98cf9e58550f955cde6f944d4a7a2e3b3b
BEN-000002           | 99e51dbeb99bb23831d7c0f5bbbdf3c33625fdbaa39dfb868d         | 4ef59d022467fe9fc6677c9230eb8f70b5aefee43aba5a37e0
BEN-000003           | 76af8c0ade0b4f90cd37fa78c1be1f8da40217b15a61e114fe         | 685de585a66fe591889469734ee50842c0de1f0f41b1063c22
BEN-000004           | 04a69da3463964198c01aa46b63a7fd1df9692519396e2c77c         | 68d3a9f3cbddfdf457f68ec87408ba3fc433f5f9b545395d68
BEN-000005           | 4a586737dfa51f27e3cdc0df2a316da00ec2792b78365ba041         | f48ffce6207b5241b96a4c9b912f5395c487e6f9eec56505d5
BEN-000006           | 35b831d4d95c2e6cc26c170814645a6d7e7d0295b46da496db         | c22e61a080ad1d08abc7c6d581a7b9da5b6948993f31bbb2a0
BEN-000007           | 71e8414234998f9dcdc006d31ae7cee16412ff602fbeb5b84c         | 4a2a0df1af8d4663c5f6bbbc975bbf1c6db6632445c84965dc
BEN-000008           | ee9b69fa04093898db79116ff93d9914d4aadf1f4dcff42369         | 5110e8bd6a93bd4766ecc8e29b03c7d1acc61f75ede3a8502d
BEN-000009           | ad455918fa7d93b5faa0b710eb9f42d532784a1f175668985f         | b22614722887cad2d0d7fade175546272583c785ca3ef4a5b8
BEN-000010           | 9cb5be9e3a28e65cfdbd31a8b9817e9550daf75c93e52c43ae         | a55d3411ce2f9c4f46b1598df673f85c8249f1649306a86ab4
BEN-000011           | c17effdb954e0853a1d8f992295cabbb48eaedb427e46aee6a         | 6ebb5ac93c761c984e9ccac60c9bc220121f9905ed8bfa0c70
BEN-000012           | 7accbc85d064044461ec68b1814e8042b9b7321f87594df81c         | 213779776ce6ee0519a627f6fc6f52c74932aa7e3bbbe30a99
BEN-000013           | 39ecc111f575e0bc0dfb14bcc48a50d0bad915113ce3c7a8b9         | cc3aed7d12c9c3d38ee55462255d2442c36d0014492fd13e33
BEN-000014           | d663712671274cd82d0650d5f9459745d4e2a28e06330f8a6d         | fa6f9f24387714a37351367b9256987da604686ff53dce30c6
BEN-000015           | d33bcb922a1adee53d5b7a64b2dc4622036b1c7ef57c2a179b         | d774a03737528bd2179513cb1461b5014923120536135ffb98
BEN-000016           | ee09528c3f23dac2c4098b89b0acd99a931bf1d502d18f3de3         | cbef642216272a34aabb41084a4007c14eb05801cd19b287bb
